FI_CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE
026,ธ.เมกะ สากลพาณิชย์ จำกัด (มหาชน),"ยกระดับจากสาขา ธ.ต่างประเทศเป็นธนาคารพาณิชย์ที่เป็นบริษัทลูกของธนาคารต่างประเทศ เมื่อ 08/08/2548
และเปลี่ยนชื่อจากเดิม ธนาคารสากลพาณิชย์แห่งประเทศจีน เมื่อ 21/08/2549",
028,ธนาคารคาลิยง สาขากรุงเทพฯ,เดิมชื่อ ธ.เครดิตอะกริกอล อินโดสุเอซ เปลี่ยนเมื่อ 16/08/2547,
,ธนาคารเครดิต อะกริกอล คอร์ปอเรทแอนด์อินเวสเมนท์แบงก์,เดิมชื่อ ธ.คาลิยง สาขากรุงเทพฯ เปลี่ยนเมื่อ 08/02/2553,
029,ธนาคารอินเดียนโอเวอร์ซีส์ สาขากรุงเทพฯ,ธนาคารภารตโอเวอร์ซีส์ จำกัด ได้ควบรวมกิจการกับ Indian Overseas Bank เมื่อ 28/03/2550 ,
039,ธนาคารมิซูโฮ คอร์ปอเรต จำกัด,เดิมชื่อ ธ.ได-อิจิ คังเงียว เปลี่ยนเมื่อ 01/04/2545,
041,ธนาคารโซซิเยเต้ เจเนราล,ยกระดับจากกิจการวิเทศธนกิจเป็นสาขาธนาคารต่างประเทศ เมื่อ 24/06/2548,
052,ธ. แห่งประเทศจีน (ไทย) จำกัด (มหาชน),"ยกระดับจากสาขา ธ.ต่างประเทศเป็นธนาคารพาณิชย์ที่เป็นบริษัทลูกของธนาคารต่างประเทศ เมื่อ 26/08/2557
และเปลี่ยนชื่อจากเดิม ธนาคารแห่งประเทศจีน จำกัด",
067,ธนาคารทิสโก้ จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์ เมื่อ 01/07/2548,
068,ธ.เอไอจี เพื่อรายย่อย จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์เพื่อรายย่อย เมื่อ 06/03/2550,
069,ธนาคารเกียรตินาคิน จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์ เมื่อ 03/10/2548,
070,ธนาคารสินเอเซีย จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์ เมื่อ 23/12/2548,
,ธนาคารไอซีบีซี (ไทย) จำกัด (มหาชน),เดิมชื่อ ธ.สินเอเซีย จำกัด (มหาชน) เปลี่ยนเมื่อ 08/07/2553,
071,ธ.ไทยเครดิตเพื่อรายย่อย จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์เพื่อรายย่อย เมื่อ 18/01/2550,
073,ธนาคารแลนด์ แอนด์ เฮ้าส์ เพื่อรายย่อย จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์เพื่อรายย่อย เมื่อ 19/12/2548,
,ธ. แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),ยกระดับเป็นธนาคารพาณิชย์ เมื่อ 19/12/2554,
098,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,เดิมชื่อ บรรษัทเงินทุนอุตสาหกรรมขนาดย่อม เปลี่ยนเมื่อ 19/12/2545,
317,บ. ดิจิตอลเทค แพลนเน็ต จำกัด (มหาชน),เดิมชื่อ บ. แอสเซท ไบร์ท จำกัด (มหาชน) เปลี่ยนเมื่อ 13/07/2560,
327,บ. พีทีที ดิจิตอล โซลูชั่น จำกัด,เดิมชื่อ พีทีที ไอซีที โซลูชั่นส์ จำกัด เปลี่ยนเมื่อ 22/06/2560,
334,บ.บีทู (ไทยแลนด์) จำกัด,เดิมชื่อ จีพีซีเอ็ม กรุ๊ป จำกัด เปลี่ยนเมื่อ 30/06/2560,
422,บง. ฟินันซ่า จำกัด,เดิมชื่อ บง.ไพรมัส เปลี่ยนเมื่อ 01/10/2545,
450,บง. อเมริกัน เอ็กซ์เพรส (ประเทศไทย) จำกัด                                           ,เดิมชื่อ บง.บีโอเอ เปลี่ยนเมื่อ 16/03/2545,
452,บง. แอ็ดวานซ์ จำกัด (มหาชน),เดิมชื่อ บง.โกลบอลไทย เปลี่ยนเมื่อ 26/05/2547,
453,บง. ศรีสวัสดิ์ จำกัด (มหาชน),เดิมชื่อ บง. กรุงเทพธนาทร จำกัด (มหาชน) เมื่อวันที่ 7/6/2560,
862,"SUMITOMO MITSUI TRUST BANK, LIMITED","เดิมชื่อ The Sumitomo Trust & Banking Co.,Ltd เปลี่ยนเมื่อ 23/04/2555",
